1/1_0000.wav	그는 괜찮은 척하려고 애쓰는 것 같았다	18 7 3 465 430 12 3 558 15 76 17 3 327 282 7 3 67 3 143 114 6
1/1_0001.wav	그녀의 사랑을 얻기 위해 애썼지만 헛수고였다	18 116 31 3 21 208 11 3 612 23 3 106 24 3 327 801 14 61 3 969 42 17 326 6
1/1_0002.wav	용돈을 아껴 써라	164 284 11 3 13 543 3 340 43
1/1_0003.wav	그는 아내를 많이 아낀다	18 7 3 13 44 22 3 93 4 3 13 6
1/1_0004.wav	그 애 전화번호 알아	18 3 327 3 63 91 122 222 3 210 13
1/1_0005.wav	차에 대해 잘 아세요	120 9 3 47 24 3 133 3 13 35 5
1/1_0006.wav	거기 도착하면 나한테 알려 줘	49 23 3 39 435 15 56 3 26 20 191 3 210 76 3 411
1/1_0007.wav	그들은 내가 시험에 떨어졌다고 알려 왔다	18 30 12 3 44 10 3 29 217 9 3 329 8 209 6 17 3 210 76 3 213 6
1/1_0008.wav	나는 살아오면서 감기를 앓은 적이 한 번도 없다	26 7 3 163 13 50 56 19 3 165 23 22 3 889 12 3 81 4 3 20 3 122 39 3 64 6
1/1_0009.wav	사흘 동안 심하게 몸살을 앓았어요	21 544 3 112 69 3 131 15 32 3 375 163 11 3 889 114 8 5
1/1_0010.wav	요즘 공부가 안돼요	5 258 3 138 55 10 3 69 272 5
1/1_0011.wav	장사가 잘 안돼서 우울해	65 21 10 3 133 3 69 272 19 3 48 173 24
1/1_0012.wav	아무 것도 먹지 않으면 죽게 되어 있다	13 51 3 67 39 3 140 14 3 85 41 56 3 276 32 3 103 8 3 25 6
1/1_0013.wav	그녀는 이유를 묻지 않고 돈을 빌려 주었다	18 116 7 3 4 160 22 3 615 14 3 85 17 3 284 11 3 475 76 3 38 52 6
1/1_0014.wav	내가 아기를 안고 있을게	44 10 3 13 23 22 3 69 17 3 25 11 32
1/1_0015.wav	엄마는 말없이 나를 꼭 안아 주셨다	223 40 7 3 62 64 4 3 26 22 3 387 3 69 13 3 38 205 6
1/1_0016.wav	자리에 앉으세요	34 28 9 3 393 41 35 5
1/1_0017.wav	한 여자가 내 옆에 앉았다	20 3 59 34 10 3 44 3 504 9 3 393 114 6
1/1_0018.wav	일일사에 전화를 해서 번호를 알아보시지 그러세요	36 36 21 9 3 63 91 22 3 24 19 3 122 222 22 3 210 13 46 29 14 3 18 96 35 5
1/1_0019.wav	내가 누군지 알아보겠니	44 10 3 198 302 14 3 210 13 46 105 16
1/1_0020.wav	그는 절대 다른 사람의 의견을 받아들이지 않는다	18 7 3 253 47 3 6 185 3 21 53 31 3 31 404 11 3 193 13 30 4 14 3 85 7 6
1/1_0021.wav	아이들도 언젠가는 그녀를 엄마로 받아들일 거야	13 4 30 39 3 231 721 10 7 3 18 116 22 3 223 40 27 3 193 13 30 36 3 49 45
1/1_0022.wav	어디에서 영어를 배우셨어요	8 201 9 19 3 145 8 22 3 172 48 205 8 5
